model,test_RMSE,test_MAE,test_R2,cv_RMSE
GradientBoosting,662.3214821275753,462.77011755459665,0.8906028371614286,651.1661003933899
ExtraTrees,677.313631644074,437.5628571428571,0.8855942088581995,669.167624945799
RandomForest,677.3650292852734,429.7921768707483,0.8855768449350856,680.843574677305
KNeighbors,824.1280981600316,571.8231292517007,0.8306216808132785,796.571191632916
AdaBoost,884.0455980737016,670.1494788047257,0.8050973661499734,840.4529975444234
